#Centroids	beta_prevalence	mean_abundance	alpha_prevalence_Y	alpha_prevalence_X	ppanini_score_X	ppanini_score_Y
SRS019597.1068	0.416666666667	2115.62277974	0.5	0.333333333333	16.176518273	13.6025405994
SRS019597.1069	0.416666666667	2115.62277974	0.5	0.333333333333	16.176518273	13.6025405994
SRS056210.57	0.416666666667	34782.964492	0.5	0.333333333333	18.3138804117	15.0827125516
SRS015996.10799	0.416666666667	2206.49470381	0.5	0.333333333333	16.2757677429	13.6726496971
SRS016033.54	0.416666666667	34020.4807876	0.5	0.333333333333	18.2990354472	15.0726423205
SRS016033.55	0.5	8487.08798527	1.0	0.0	13.7578529194	18.3720748015
SRS016033.57	0.416666666667	40574.2097704	0.5	0.333333333333	18.3237722027	15.0894211487
SRS015996.15963	0.416666666667	1706.08061314	0.5	0.333333333333	16.0553023562	13.5167286564
SRS015996.1025	0.416666666667	2706.19329063	0.5	0.333333333333	16.5845136997	13.8898738143
SRS015996.12575	0.416666666667	2427.11196728	0.5	0.333333333333	16.3826438243	13.7479934157
SRS015996.15969	0.416666666667	2139.86068392	0.5	0.333333333333	16.1953239825	13.6158353242
SRS015996.8635	0.416666666667	4248.86683098	0.5	0.333333333333	17.6116778437	14.603190577
SRS015996.19628	0.416666666667	2780.07916497	0.5	0.333333333333	16.6426595937	13.9306365048
SRS015996.12987	0.416666666667	2478.46380122	0.5	0.333333333333	16.4305961683	13.7817467056
SRS015996.12986	0.416666666667	2935.32348809	0.5	0.333333333333	16.7533062401	14.0080763468
SRS015996.14434	0.416666666667	2050.42715891	0.5	0.333333333333	16.1200203134	13.5625696799
SRS019597.2041	0.416666666667	2374.88107755	0.5	0.333333333333	16.3613034477	13.7329618673
SRS011132.315	0.416666666667	5187.54373047	0.5	0.333333333333	17.7334406557	14.6868078687
SRS015996.19181	0.416666666667	2877.63811572	0.5	0.333333333333	16.7138435597	13.9804762766
SRS015996.19347	0.416666666667	3000.3612465	0.5	0.333333333333	16.8058301423	14.0447783591
SRS011132.66	0.416666666667	3218.41075569	0.5	0.333333333333	17.0252767753	14.1977137783
SRS011132.64	0.416666666667	3449.01339551	0.5	0.333333333333	17.1757205646	14.3021823955
SRS011132.65	0.416666666667	3017.88672107	0.5	0.333333333333	16.8425337868	14.0704033211
SRS011132.62	0.416666666667	1940.07003498	0.5	0.333333333333	16.0930738253	13.5434900406
SRS019597.362	0.416666666667	4925.39813031	0.5	0.333333333333	17.7131871331	14.6729129949
SRS011132.60	0.416666666667	2382.32908833	0.5	0.333333333333	16.3719758095	13.7404799597
SRS011132.61	0.333333333333	18315.7861046	0.0	0.666666666667	18.6138169913	0.97990571273
SRS019597.200	0.416666666667	3206.68977852	0.5	0.333333333333	17.0096635194	14.1868543216
SRS015996.20635	0.416666666667	4180.99114361	0.5	0.333333333333	17.5862374031	14.5856950976
SRS015996.1587	0.416666666667	140478.028313	0.5	0.333333333333	18.3287166434	15.0927739814
SRS015996.13630	0.416666666667	2073.67942566	0.5	0.333333333333	16.1254063022	13.5663820514
SRS015996.5756	0.666666666667	27227.4302407	1.0	0.333333333333	18.2494890632	18.6371178774
SRS015996.5754	0.583333333333	14520.9903533	0.5	0.666666666667	18.5412220649	14.9748406683
SRS011132.149	0.416666666667	3970.25261256	0.5	0.333333333333	17.5327300073	14.5488696765
SRS011132.141	0.416666666667	3459.79156237	0.5	0.333333333333	17.1834783419	14.3075611185
SRS011132.142	0.416666666667	2114.31706589	0.5	0.333333333333	16.168454563	13.5968384406
SRS015996.7745	0.416666666667	3611.64481006	0.5	0.333333333333	17.3098591744	14.3950707816
SRS011132.144	0.416666666667	3812.44249297	0.5	0.333333333333	17.4100061605	14.4642627253
SRS011132.145	0.416666666667	4176.42877214	0.5	0.333333333333	17.5760541386	14.5786896106
SRS011132.146	0.416666666667	3606.91575775	0.5	0.333333333333	17.3047128995	14.3915115581
SRS011132.220	0.416666666667	2843.66429784	0.5	0.333333333333	16.6901371889	13.9638858676
SRS011132.225	0.416666666667	2667.41299593	0.5	0.333333333333	16.5580408313	13.871299843
SRS015996.15262	0.416666666667	3248.630575	0.5	0.333333333333	17.0408806118	14.2085633792
SRS011132.226	0.333333333333	3523.78093497	0.0	0.666666666667	17.5961855839	0.9769314119
SRS015996.20097	0.416666666667	3417.07808629	0.5	0.333333333333	17.1420765418	14.2788464737
SRS015996.16161	0.416666666667	3857.06974623	0.5	0.333333333333	17.4484204875	14.4907676075
UniRef90_D5VBA5	0.166666666667	8048.44482416	0.0	0.333333333333	17.9626982647	0.979137879984
SRS015996.1275	0.416666666667	2510.64417982	0.5	0.333333333333	16.46783177	13.8079346626
SRS015996.18363	0.416666666667	4076.46015163	0.5	0.333333333333	17.5607716398	14.5681735522
SRS015996.13998	0.416666666667	2328.08917001	0.5	0.333333333333	16.3372747263	13.7160291847
SRS015996.16008	0.416666666667	3270.68137055	0.5	0.333333333333	17.0616710897	14.2230142057
SRS015996.7733	0.416666666667	3829.0183299	0.5	0.333333333333	17.4279400024	14.4766390702
SRS011132.237	0.666666666667	8593.28016114	1.0	0.333333333333	18.0103054893	18.3877350463
SRS015996.9014	0.416666666667	2845.05620401	0.5	0.333333333333	16.6954071376	13.9675745967
SRS011132.235	0.416666666667	3055.00358708	0.5	0.333333333333	16.9001062705	14.1105610303
SRS015996.3799	0.416666666667	2250.76041313	0.5	0.333333333333	16.2971778415	13.6877557051
SRS011132.139	0.416666666667	3474.26767769	0.5	0.333333333333	17.2067376782	14.3236827133
SRS011132.138	0.416666666667	2509.19332278	0.5	0.333333333333	16.4625156434	13.8041969787
SRS011132.134	0.416666666667	3892.87376919	0.5	0.333333333333	17.4893324636	14.5189740572
SRS011132.133	0.416666666667	3892.87376919	0.5	0.333333333333	17.4893324636	14.5189740572
SRS015996.4134	0.416666666667	1957.01302819	0.5	0.333333333333	16.1038557308	13.5511254548
SRS015996.19001	0.416666666667	6400.97149275	0.5	0.333333333333	17.7890550543	14.7249339465
SRS015996.7939	0.416666666667	3829.7063835	0.5	0.333333333333	17.4330616564	14.4801727892
SRS015996.7938	0.416666666667	3046.35735052	0.5	0.333333333333	16.8948776858	14.1069158751
UniRef90_D5V950	0.166666666667	9751.46364376	0.0	0.333333333333	18.1002643431	0.979543689782
SRS015996.3157	0.416666666667	1862.47133601	0.5	0.333333333333	16.0741948612	13.5301166336
SRS019597.2032	0.416666666667	2570.02007184	0.5	0.333333333333	16.499705845	13.8303366445
SRS019597.1038	0.333333333333	16471.0094258	0.0	0.666666666667	18.556793953	0.979747219653
