# Gene Family	demo_Abundance-RPKs
UniRef90_A6L1U6|g__Bacteroides.s__Bacteroides_vulgatus	6.5681444992
UniRef90_I9R3T6	13.0718954248
UniRef90_I9R3T6|g__Bacteroides.s__Bacteroides_dorei	13.0718954248
UniRef90_A6L706	13.0208333333
UniRef90_A6L706|g__Bacteroides.s__Bacteroides_vulgatus	10.4166666667
UniRef90_A6L706|g__Bacteroides.s__Bacteroides_dorei	2.6041666667
UniRef90_R6HVW3	12.9870129870
UniRef90_R6HVW3|g__Bacteroides.s__Bacteroides_dorei	12.9870129870
UniRef90_R6HHC0	12.9629629630
UniRef90_R6HHC0|g__Bacteroides.s__Bacteroides_vulgatus	12.9629629630
UniRef90_A6L308	12.8205128205
UniRef90_A6L308|g__Bacteroides.s__Bacteroides_vulgatus	12.8205128205
UniRef90_D4VA22	12.8205128205
UniRef90_D4VA22|g__Bacteroides.s__Bacteroides_vulgatus	12.8205128205
UniRef90_I8UQW6	12.8205128205
UniRef90_I8UQW6|g__Bacteroides.s__Bacteroides_dorei	12.8205128205
UniRef90_R5M126	12.8205128205
UniRef90_R5M126|g__Bacteroides.s__Bacteroides_vulgatus	8.5470085470
UniRef90_R5M126|g__Bacteroides.s__Bacteroides_dorei	4.2735042735
UniRef90_R6IKN1	12.8205128205
UniRef90_R6IKN1|g__Bacteroides.s__Bacteroides_vulgatus	12.8205128205
UniRef90_R6ZBZ2	12.8205128205
UniRef90_R6ZBZ2|g__Bacteroides.s__Bacteroides_dorei	12.8205128205
UniRef90_Q5LI35	12.8205128205
UniRef90_Q5LI35|g__Bacteroides.s__Bacteroides_dorei	10.6837606838
UniRef90_Q5LI35|g__Bacteroides.s__Bacteroides_vulgatus	2.1367521368
UniRef90_R6HWM4	12.8205128205
UniRef90_R6HWM4|g__Bacteroides.s__Bacteroides_vulgatus	12.8205128205
UniRef90_Z9K4C5	12.7438684783
UniRef90_Z9K4C5|unclassified	12.7438684783
UniRef90_Q8GT21	12.7217525466
UniRef90_Q8GT21|unclassified	12.7217525466
UniRef90_A6L0W0	12.6582278481
UniRef90_A6L0W0|g__Bacteroides.s__Bacteroides_dorei	8.4388185654
UniRef90_A6L0W0|g__Bacteroides.s__Bacteroides_vulgatus	4.2194092827
UniRef90_W8YTG4	12.6390305338
UniRef90_W8YTG4|unclassified	12.6390305338
UniRef90_R9HNX0	12.4378109453
UniRef90_R9HNX0|g__Bacteroides.s__Bacteroides_vulgatus	12.4378109453
