	N00002	N00003	N00005	N00007	N00009	N00010	N00011	N00015	N00017	N00019	N00021	N00022	N00024	N00027	N00028	N00029	N00032	N00033	N00034	N00040	N00042	N00044	N00046	N00047	N00048	N00050	N00053	N00054	N00056	N00058	N00060	N00061	N00062	N00064	N00066	N00067	N00070	N00071	N00072	N00076	N00078	N00080	N00082	N00084	N00086	N00088	N00089	N00090	N00091	N00092	N00093	N00100	N00102	N00104	N00106	N00108	N00109	N00112	N00114	N00115	N00116	N00117	N00119	N00120	N00121	N00123	N00125	N00127	N00129	N00133	N00134	N00136	N00138	N00140	N00141	N00143	N00144	N00146	N00148	N00150	N00153	N00154	N00157	N00159	N00161	N00164	N00166	N00170	N00172	N00174	N00176	N00177	N00178	N00179	N00180	N00182	N00184	N00185	N00186	N00188	N00190	N00192	N00193	N00194	N00195	N00197	N00198	N00199	N00200	N00201	N00202	N00203	N00205	N00207	N00209	N00211	N00213	N00215	N00216	N00217	N00219	N00221	N00222	N00223	N00225	N00228	N00229	N00230	N00234	N00236	N00237	N00240	N00241	N00242	N00243	N00244	N00246	N00248	N00254	N00255	N00256	N00257	N00263	N00265	N00267	N00269	N00272	N00275	N00277	N00278	N00279	N00284	N00285	N00286	N00287	N00291	N00292	N00294	N00297	N00299	N00300	N00313	N00319	N00326	N00328	N00329	N00356	N00357	N00358	N00360	N00362	N00364	N00366	N00367	N00368	N00370	N00371	N00372	N00373	N00378	N00380	N00383	N00385	N00387	N00391	N00395	N00398	N00399	N00401	N00403	N00404	N00408	N00410	N00412	N00414	N00415	N00417	N00418	N00420	N00422	N00424	N00428	N00430	N00431	N00432	N00436	N00440	N00442	N00446	N00447	N00449	N00453	N00457	N00460	N00461	N00469	N00471	N00472	N00473	N00474	N00477	N00479	N00481	N00483	N00485	N00487	N00488	N00489	N00496	N00497	N00499	N00501	N00505	N00507	N00510	N00513	N00514	N00515	N00518	N00520	N00522	N00525	N00529	N00650	N00652	N00654	N00656	N00657	N00658	N00661	N00665	N00667	N00669	N00671	N00673
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|55	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	18	0	0	16	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	50	26	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	84	53	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	16	1	0	0	0	0	1	0	4	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	44	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	1	3	48	8	0	10
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__|58	2	1282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	26	0	0	0	15	0	1	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	4	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	2	0	0	12	3	0	0	0	3	0	0	0	1	0	0	0	0	0	3	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	14	0	0	0	0	0	0	0	0	0	17	29	0	0	1	0	0	0	6	0	0	0	17	0	9	27	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|61	0	0	0	0	0	0	0	0	52	3	359	232	194	2	169	25	0	2	0	0	37	0	0	1	0	2	0	0	22	0	0	0	8	191	0	1	0	0	0	108	0	38	0	0	0	0	0	25	119	0	0	0	0	0	0	1942	1703	0	0	0	0	0	0	0	0	7	0	0	33	0	0	1	0	0	0	0	0	206	0	0	172	37	0	1	0	0	21	0	0	0	0	0	0	0	38	13	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	6	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	29	10	0	0	0	0	0	196	72	0	0	297	0	194	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	11	0	0	0	0	0	476	0	18	44	59	0	2	15	0	0	3	55	0	0	7	0	0	1	11	0	0	0	0	0	0	1	6	0	48	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	70	0	0	0	0	96	0	0	0	80
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|62	0	0	0	0	0	0	0	14	19	0	0	1	0	0	0	829	0	0	0	0	0	0	1	1	0	0	0	0	209	1	0	0	0	1	0	0	0	0	0	792	0	0	0	0	1	0	0	1	2	33	45	0	0	0	0	1	2	0	0	0	0	1	0	0	0	16	0	0	0	0	0	0	54	0	1	0	0	248	0	0	0	0	0	0	0	0	33	0	1	0	0	1	0	0	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	464	430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	803	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	85	133	0	0	0	32	0	0	1	0	1	0	1	160	66	195	1	2	248	0	0	96	0	0	0	0	1	0	1	1	2	2	0	0	0	0	23	25	0	0	0	0	3	0	1	0	107	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	133	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|63	0	223	0	0	0	0	0	0	32	0	192	36	0	8	248	25	0	0	18	1	95	0	13	21	0	0	0	0	159	9	0	0	103	1	142	284	99	171	0	118	0	96	0	0	0	0	1	1	1	121	32	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	0	0	81	0	0	0	12	3	0	0	0	35	9	0	23	39	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	26	113	0	0	0	0	0	0	1	0	0	0	147	0	0	0	0	0	0	0	0	81	1	34	355	0	0	0	52	73	51	75	0	0	0	0	0	102	98	0	0	0	0	116	0	0	0	0	11	10	11	52	241	34	149	52	0	0	0	288	0	0	1	0	0	0	0	12	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	5	12	1	0	1	7	0	0	0	0	1	144	0	0	0	25	1	2	122	0	0	0	14	0	0	0	0	0	2	0	23	22	5	0	0	0	55	75	0	0	0	0	0	0	0	5	16	0	0	0	1	0	0	2	0	0	0	17	10	0	0	73	0	111	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|64	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	565	0	90	0	0	10	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	26	0	134	131	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	165	0	0	0	0	0	0	0	0	8	17	29	0	0	0	0	0	0	0	0	0	0	4	0	671	740	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	1	0	1	25	0	0	10	0	32	0	433	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	86	0	0	58	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	5	17	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|65	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	8	12	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	0	0	1	0	0	3	1	4	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	13	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|68	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	0	0	5	149	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	27	40	1	28	0	0	0	0	0	0	0	0	0	40	76	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	1	2	0	3	77	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	231	0	0	0	0	0	0	0	6	0	0	9	0	0	0	0	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	896	665	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	37	0	0	0	636	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|69	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3601	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	3575	2809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2264	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1985	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Tenericutes|c__Erysipelotrichi|o__Erysipelotrichales|f__Erysipelotrichaceae|g__|77	66	9	0	0	0	0	0	0	13	49	27	24	26	0	2	0	67	54	30	300	3	0	1	16	1	0	9	0	51	223	0	0	32	0	0	0	3	22	1	0	0	28	0	0	2	2	13	25	46	13	17	0	0	0	0	6	0	0	0	0	0	0	21	11	0	0	0	0	0	0	0	50	7	24	0	0	0	0	0	0	4	0	0	108	738	0	24	0	0	0	0	0	0	0	0	5	0	0	0	458	2	0	0	459	630	0	0	103	167	0	0	0	0	0	1	4	0	0	0	5	0	135	70	0	15	0	0	0	0	0	0	9	3	3	3	0	0	0	0	0	11	6	7	1	16	0	5	105	0	0	309	189	3	0	69	83	15	0	0	0	0	0	2	52	4	0	0	0	43	0	11	0	47	27	0	0	0	0	0	0	0	0	0	21	0	0	0	0	6	0	0	0	0	0	0	1	0	0	143	0	84	1	0	0	0	33	0	0	0	0	1	0	0	0	0	0	5	24	32	32	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	127	0	0	0	0	0	0	30	18	0	9	15	3	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|78	0	370	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	24	15	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Fusobacteria|c__Fusobacteria|o__Fusobacteriales|f__Fusobacteriaceae|g__J2-29|79	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	82	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Gemellales|f__Gemellaceae|g__Gemella|80	21	1	0	1	6	28	35	3	10	0	12	0	0	0	2	0	0	8	28	0	8	0	0	0	0	255	4	41	132	6	1	0	4	0	12	0	3	4	12	0	5	16	0	0	0	0	0	0	0	22	15	0	6	0	0	6	0	5	0	15	5	0	2	0	56	0	1	0	0	0	0	4	80	3	0	0	0	66	9	0	2	0	12	31	18	671	1	0	33	0	0	0	0	0	0	7	11	0	86	36	83	2	0	30	0	0	0	19	0	0	0	0	28	1	32	0	15	288	172	42	56	0	1	21	0	4	10	8	0	12	48	1	0	5	25	37	164	0	17	0	14	2	88	13	0	3	0	2	1	0	43	159	1	0	3	1	0	16	0	0	0	0	0	4	1	0	4	0	444	195	0	0	1	0	52	3	23	0	9	89	2	44	5	19	75	22	5	0	0	0	6	0	16	27	0	5	0	0	48	2	0	93	4	0	4	0	0	0	0	102	7	0	11	0	0	0	0	0	18	0	37	33	9	0	0	3	8	568	0	44	12	3	6	8	0	0	49	0	0	0	0	10	17	1150	3	0	8	5	11	20	2	0	0	274	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|81	0	0	0	1584	0	0	0	35	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	17	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	6	6	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	19	1	0	0	1	0	0	0	0	0	2	0	0	11	0	0	8	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|84	217	0	0	65	0	0	0	1	38	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	978	189	160	0	0	0	0	237	47	16	0	1	41	69	0	0	0	0	1	19	0	0	3	2	0	0	7	0	0	270	228	0	0	0	0	0	15	0	1	0	6	0	0	0	0	0	1	3	0	0	0	0	22	1	3	0	2	0	0	4	9	0	3319	0	1	0	0	2	704	291	0	0	0	0	0	0	0	0	0	0	0	682	0	0	0	0	0	0	0	0	23	0	256	67	0	0	0	0	0	0	0	0	0	0	0	2684	2130	63	18	0	74	0	2325	21	0	0	0	0	1	74	10	1	0	0	0	0	266	1294	0	42	0	1	0	1485	1113	1311	0	0	0	1	0	0	3	5	0	0	0	0	1	0	0	0	0	0	105	7	0	0	0	0	0	0	0	0	0	0	0	261	2	0	0	0	0	0	492	0	1	2	0	0	0	0	23	249	458	2	1	3	0	16	27	0	0	7	0	0	0	23	1064	0	0	0	0	2270	238	0	0	0	0	11	0	0	7	0	0	0	1	2	35	1	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Clostridium|86	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	26	1	0	0	0	0	0	0	44	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	30	0	0	81	0	1	0	0	0	0	0	63	7	30	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	266	52	25	33	1	0	2	0	0	93	1	0	0	37	1	0	1	1	1	4	0	1	0	0	1	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	57	10	0	0	270	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|89	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	172	0	0	0	8	0	0	18	110	0	1	0	0	12	380	0	0	8	200	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	16	0	0	0	0	0	0	0	0	0	0	0	0	0	18	61	0	0	0	0	0	0	0	0	0	0	131	32	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	111	113	463	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	1	0	0	5	17	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	20	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	13	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	89	0	0	0	0	0	253	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Veillonellaceae|g__Veillonella|93	4	2	33	21	0	5	0	21	0	0	12	0	0	0	6	0	7	0	2	0	7	0	0	2	0	26	2	372	2	65	2	1	32	0	6	3	1	0	0	0	16	24	11	0	47	4	0	18	50	0	0	0	46	0	13	354	215	10	0	0	0	0	0	9	80	0	0	3	11	249	16	36	4	0	0	0	0	16	23	0	11	0	0	0	7	65	1	0	0	0	54	18	18	0	4	13	2	1	15	16	2	5	9	0	0	0	0	5	0	0	0	1	3	1	0	0	16	12	20	17	50	128	62	371	0	9	15	1	0	0	2	0	0	4	8	8	0	0	0	0	4	6	19	0	0	0	17	1	0	11	6	34	59	14	0	79	1	16	0	25	32	0	0	19	0	0	11	2	0	117	1	110	11	4	9	2	13	0	0	16	6	8	0	0	22	10	7	14	0	21	29	0	0	61	0	162	0	0	0	18	221	9	4	0	7	0	50	0	1	300	7	38	17	0	125	0	0	0	1	1	3	0	1	939	15	14	37	109	143	0	2	8	2	49	0	32	8	0	0	1	46	144	0	71	10	7	0	0	0	0	4	1	0	235	6
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	23	62	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	12	0	0	0	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	22	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	62	0	0	0	0	0	0	0	0	0	1	0	0	59	115	0	0	0	0	120	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	132	0	1	1	0	0	0	0	0	0	37	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	1	39	1	0	7	53	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	157	0	16	0	0
