#FASTA	SRS056210.fasta	SRS011132.fasta	SRS019597.fasta	SRS015996.fasta	SRS016033.fasta
#Niche	X	X	X	Y	Y
#Genes	SRS056210	SRS011132	SRS019597	SRS015996	SRS016033
SRS011132.96|UniRef90_unknown	0.0	0.067264573991	0.0	0.0	0.0
SRS011132.51|UniRef90_unknown	0.0	0.0717703349282	0.0	0.0	0.0
SRS011132.180|UniRef90_unknown	0.0	0.0846153846154	0.0	0.0	0.0
SRS011132.240|UniRef90_unknown	0.0	0.0688524590164	0.0	0.0	0.0
SRS011132.124|UniRef90_unknown	0.0	0.0775862068966	0.0	0.0	0.0
SRS011132.163|UniRef90_unknown	0.0	0.0916334661355	0.0	0.0	0.0
SRS011132.177|UniRef90_unknown	0.0	0.0656370656371	0.0	0.0	0.0
SRS011132.187|UniRef90_unknown	0.0	0.0905660377358	0.0	0.0	0.0
SRS011132.308|UniRef90_unknown	0.0	0.0867430441899	0.0	0.0	0.0
SRS011132.214|UniRef90_unknown	0.0	0.0812720848057	0.0	0.0	0.0
SRS011132.174|UniRef90_unknown	0.0	0.093023255814	0.0	0.0	0.0
SRS011132.60|UniRef90_unknown	0.0	0.0516431924883	0.0	0.0	0.0
SRS011132.18|UniRef90_unknown	0.0	0.0796019900498	0.0	0.0	0.0
SRS011132.40|UniRef90_unknown	0.0	0.0772946859903	0.0	0.0	0.0
SRS011132.64|UniRef90_unknown	0.0	0.0747663551402	0.0	0.0	0.0
SRS011132.123|UniRef90_unknown	0.0	0.0905172413793	0.0	0.0	0.0
SRS011132.106|UniRef90_unknown	0.0	0.0616740088106	0.0	0.0	0.0
SRS011132.190|UniRef90_unknown	0.0	0.0977443609023	0.0	0.0	0.0
SRS011132.206|UniRef90_unknown	0.0	0.0579710144928	0.0	0.0	0.0
SRS011132.31|UniRef90_unknown	0.0	0.093137254902	0.0	0.0	0.0
SRS011132.74|UniRef90_unknown	0.0	0.0740740740741	0.0	0.0	0.0
SRS011132.179|UniRef90_unknown	0.0	0.0769230769231	0.0	0.0	0.0
SRS011132.157|UniRef90_unknown	0.0	0.0813008130081	0.0	0.0	0.0
SRS011132.36|UniRef90_unknown	0.0	0.0825242718447	0.0	0.0	0.0
SRS011132.68|UniRef90_unknown	0.0	0.046511627907	0.0	0.0	0.0
SRS011132.172|UniRef90_unknown	0.0	0.0703125	0.0	0.0	0.0
SRS011132.315|UniRef90_unknown	0.0	0.112453531599	0.0	0.0	0.0
SRS011132.112|UniRef90_unknown	0.0	0.061135371179	0.0	0.0	0.0
SRS011132.133|UniRef90_unknown	0.0	0.084388185654	0.0	0.0	0.0
SRS011132.183|UniRef90_unknown	0.0	0.110687022901	0.0	0.0	0.0
SRS011132.229|UniRef90_unknown	0.0	0.0805369127517	0.0	0.0	0.0
SRS011132.282|UniRef90_unknown	0.0	0.0651041666667	0.0	0.0	0.0
SRS011132.199|UniRef90_unknown	0.0	0.0661764705882	0.0	0.0	0.0
SRS011132.272|UniRef90_unknown	0.0	0.0878186968839	0.0	0.0	0.0
SRS011132.149|UniRef90_unknown	0.0	0.0860655737705	0.0	0.0	0.0
SRS011132.195|UniRef90_unknown	0.0	0.089219330855	0.0	0.0	0.0
SRS011132.100|UniRef90_unknown	0.0	0.106666666667	0.0	0.0	0.0
SRS011132.33|UniRef90_unknown	0.0	0.0882352941176	0.0	0.0	0.0
SRS011132.232|UniRef90_unknown	0.0	0.0836120401338	0.0	0.0	0.0
SRS011132.85|UniRef90_unknown	0.0	0.0776255707763	0.0	0.0	0.0
SRS011132.42|UniRef90_unknown	0.0	0.0821256038647	0.0	0.0	0.0
SRS011132.237|UniRef90_unknown	0.0	0.0761589403974	0.0	0.0	0.0
SRS011132.254|UniRef90_unknown	0.0	4.37151702786	0.0	0.0	0.0
SRS011132.165|UniRef90_unknown	0.0	0.0597609561753	0.0	0.0	0.0
SRS011132.170|UniRef90_unknown	0.0	0.0592885375494	0.0	0.0	0.0
SRS011132.227|UniRef90_unknown	0.0	0.0641891891892	0.0	0.0	0.0
SRS011132.280|UniRef90_unknown	0.0	0.0984042553191	0.0	0.0	0.0
SRS011132.291|UniRef90_unknown	0.0	0.0821596244131	0.0	0.0	0.0
SRS011132.306|UniRef90_unknown	0.0	0.0762564991334	0.0	0.0	0.0
SRS011132.3|UniRef90_unknown	0.0	0.0738916256158	0.0	0.0	0.0
SRS011132.226|UniRef90_unknown	0.0	0.108108108108	0.0	0.0	0.0
SRS011132.121|UniRef90_unknown	0.0	0.0735930735931	0.0	0.0	0.0
SRS011132.203|UniRef90_unknown	0.0	0.0547445255474	0.0	0.0	0.0
SRS011132.101|UniRef90_unknown	0.0	0.0755555555556	0.0	0.0	0.0
SRS011132.99|UniRef90_unknown	0.0	0.0762331838565	0.0	0.0	0.0
SRS011132.47|UniRef90_unknown	0.0	0.0865384615385	0.0	0.0	0.0
SRS011132.207|UniRef90_unknown	0.0	0.108303249097	0.0	0.0	0.0
SRS011132.219|UniRef90_unknown	0.0	0.103448275862	0.0	0.0	0.0
SRS011132.158|UniRef90_unknown	0.0	0.0483870967742	0.0	0.0	0.0
SRS011132.88|UniRef90_unknown	0.0	0.0639269406393	0.0	0.0	0.0
SRS011132.130|UniRef90_unknown	0.0	0.0765957446809	0.0	0.0	0.0
SRS011132.119|UniRef90_unknown	0.0	0.047619047619	0.0	0.0	0.0
SRS011132.222|UniRef90_unknown	0.0	0.0580204778157	0.0	0.0	0.0
SRS011132.146|UniRef90_unknown	0.0	0.0781893004115	0.0	0.0	0.0
SRS011132.258|UniRef90_unknown	0.0	0.0604229607251	0.0	0.0	0.0
SRS011132.63|UniRef90_unknown	0.0	0.0700934579439	0.0	0.0	0.0
SRS011132.11|UniRef90_unknown	0.0	0.065	0.0	0.0	0.0
